year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$
2013,tt1711425,21 &amp; Over,notalk,FAIL,comedy,R,13000000
2012,tt1343727,Dredd 3D,ok,PASS,scifi,R,45658735
2013,tt2024544,12 Years a Slave,notalk,FAIL,drama,R,20000000
2013,tt1272878,2 Guns,notalk,FAIL,action,R,61000000
2013,tt0453562,42,men,FAIL,drama,PG13,40000000
2013,tt1335975,47 Ronin,men,FAIL,action,PG13,225000000
2013,tt1606378,A Good Day to Die Hard,notalk,FAIL,action,R,92000000
2013,tt2194499,About Time,ok,PASS,romance,R,12000000
2013,tt1814621,Admission,ok,PASS,comedy,PG13,13000000
2013,tt1815862,After Earth,notalk,FAIL,scifi,PG13,130000000
2013,tt1800241,American Hustle,ok,PASS,drama,R,40000000
2013,tt1322269,August: Osage County,ok,PASS,drama,R,25000000
2013,tt1559547,Beautiful Creatures,ok,PASS,romance,PG13,50000000
2013,tt2334873,Blue Jasmine,ok,PASS,drama,PG13,18000000
2013,tt1535109,Captain Phillips,notalk,FAIL,drama,PG13,55000000
2013,tt1939659,Carrie,ok,PASS,horror,R,30000000
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,kids,PG,78000000
2013,tt1690953,Despicable Me 2,ok,PASS,kids,PG,76000000
2013,tt2229499,Don Jon,dubious,FAIL,comedy,R,5500000
2013,tt1535108,Elysium,ok,PASS,scifi,R,120000000
2013,tt1731141,Ender&#39;s Game,men,FAIL,scifi,PG13,110000000
2013,tt0848537,Epic,ok,PASS,kids,PG,100000000
2013,tt0765446,Escape from Planet Earth,ok,PASS,kids,PG,40000000
2013,tt1211956,Escape Plan,men,FAIL,action,R,70000000
2013,tt1288558,Evil Dead,ok,PASS,horror,R,17000000
2013,tt1905041,Fast and Furious 6,ok,PASS,action,PG13,160000000
2013,tt2294629,Frozen,ok,PASS,kids,PG,150000000
2013,tt1583421,G.I. Joe: Retaliation,ok,PASS,action,PG13,140000000
2013,tt1321870,Gangster Squad,notalk,FAIL,action,R,60000000
2013,tt2425486,Gloria,ok,PASS,drama,R,30000000
2013,tt1454468,Gravity,nowomen,FAIL,scifi,PG13,110000000
2013,tt2191701,Grown Ups 2,men,FAIL,comedy,PG13,80000000
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,PASS,action,R,50000000
2013,tt1798709,Her,men,FAIL,drama,R,23000000
2013,tt2024432,Identity Thief,men,FAIL,comedy,R,35000000
2013,tt2226417,Insidious: Chapter 2,men,FAIL,horror,PG13,5000000
2013,tt1300854,Iron Man 3,dubious,FAIL,action,PG13,200000000
2013,tt1351685,Jack the Giant Slayer,nowomen,FAIL,action,PG13,195000000
2013,tt1650554,Kick-Ass 2,ok,PASS,action,R,28000000
2013,tt1204975,Last Vegas,notalk,FAIL,comedy,PG13,28000000
2013,tt1327773,Lee Daniels&#39; The Butler,ok,PASS,drama,PG13,30000000
2013,tt2002718,Machete Kills,ok,PASS,action,R,2000000
2013,tt2023587,Mama,ok,PASS,horror,PG13,15000000
2013,tt0770828,Man of Steel,ok,PASS,action,PG13,225000000
2013,tt1821549,Nebraska,ok,PASS,drama,R,12000000
2013,tt1670345,Now You See Me,notalk,FAIL,drama,PG13,75000000
2013,tt1483013,Oblivion,men,FAIL,action,PG13,120000000
2013,tt2302755,Olympus Has Fallen,notalk,FAIL,action,R,70000000
2013,tt1623205,Oz the Great and Powerful,ok,PASS,kids,PG,200000000
2013,tt1663662,Pacific Rim,notalk,FAIL,action,PG13,190000000
2013,tt1980209,Pain &amp; Gain,notalk,FAIL,action,R,26000000
2013,tt1904996,Parker,ok,PASS,action,R,35000000
2013,tt1699755,Peeples,dubious,FAIL,comedy,PG13,15000000
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,PASS,kids,PG,90000000
2013,tt1392214,Prisoners,ok,PASS,drama,R,46000000
2013,tt0790736,R.I.P.D.,notalk,FAIL,comedy,PG13,130000000
2013,tt1821694,Red 2,ok,PASS,action,PG13,84000000
2013,tt1411250,Riddick,notalk,FAIL,scifi,R,38000000
2013,tt2364841,Runner Runner,nowomen,FAIL,action,R,30000000
2013,tt1979320,Rush,notalk,FAIL,drama,R,38000000
2013,tt1702439,Safe Haven,ok,PASS,romance,PG13,28000000
2013,tt2140373,Saving Mr. Banks,ok,PASS,drama,PG13,35000000
2013,tt2053463,Side Effects,ok,PASS,drama,R,30000000
2013,tt1408101,Star Trek Into Darkness,notalk,FAIL,scifi,PG13,190000000
2013,tt1572315,Texas Chainsaw 3D,ok,PASS,horror,R,20000000
2013,tt1931435,The Big Wedding,ok,PASS,comedy,R,32500000
2013,tt0816442,The Book Thief,ok,PASS,drama,PG13,19000000
2013,tt1911644,The Call,ok,PASS,action,R,13000000
2013,tt1457767,The Conjuring,ok,PASS,horror,R,20000000
2013,tt2193215,The Counselor,ok,PASS,drama,R,25000000
2013,tt0481499,The Croods,men,FAIL,,,135000000
2013,tt2404311,The Family,men,FAIL,,,30000000
2013,tt1837703,The Fifth Estate,notalk,FAIL,,,26000000
2013,tt2005374,The Frozen Ground,nowomen,FAIL,,,19200000
2013,tt1343092,The Great Gatsby,dubious,FAIL,,,190000000
2013,tt1951261,The Hangover part 3,men,FAIL,,,103000000
2013,tt2404463,The Heat,ok,PASS,comedy,R,43000000
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk,FAIL,,,250000000
2013,tt1517260,The Host,dubious,FAIL,,,50000000
2013,tt1951264,The Hunger Games: Catching Fire,ok,PASS,scifi,PG13,130000000
2013,tt0790628,The Incredible Burt Wonderstone,notalk,FAIL,,,32000000
2013,tt2234155,The Internship,notalk,FAIL,,,58000000
2013,tt2034139,The Last Exorcism Part II,ok,PASS,horror,PG13,4000000
2013,tt1210819,The Lone Ranger,notalk,FAIL,,,275000000
2013,tt1538403,The Mortal Instruments: City of Bones,ok,PASS,action,PG13,60000000
2013,tt2184339,The Purge,dubious,FAIL,,,3000000
2013,tt2017020,The Smurfs 2,ok,PASS,kids,PG,110000000
2013,tt1758795,The To Do List,ok,PASS,comedy,R,1500000
2013,tt1727388,The Way Way Back,ok,PASS,drama,PG13,5000000
2013,tt0993846,The Wolf of Wall Street,notalk,FAIL,,,100000000
2013,tt1430132,The Wolverine,ok,PASS,action,PG13,115000000
2013,tt1213663,The World&#39;s End,men,FAIL,,,20000000
2013,tt1245492,This Is the End,notalk,FAIL,,,32000000
2013,tt1981115,Thor: The Dark World,dubious,FAIL,,,170000000
2013,tt1924429,Trance,nowomen,FAIL,,,16000000
2013,tt1860353,Turbo,dubious,FAIL,,,135000000
2013,tt1588173,Warm Bodies,men,FAIL,,,30000000
2013,tt1723121,We&#39;re the Millers,ok,PASS,comedy,R,37000000
2013,tt2334879,White House Down,men,FAIL,,,150000000
2013,tt0816711,World War Z,dubious,FAIL,,,190000000
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,,,68488103
2012,tt1591479,Act of Valor,nowomen,FAIL,,,12175663
2012,tt1602620,Amour,dubious,FAIL,,,9841994
2012,tt1781769,Anna Karenina,men,FAIL,,,49717290
2012,tt1024648,Argo,ok,PASS,drama,R,45151416
2012,tt1440129,Battleship,notalk,FAIL,,,212059460
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,,,1826349
2012,tt1758575,Blue Like Jazz,ok,PASS,drama,PG13,1217566
2012,tt1217209,Brave,ok,PASS,kids,PG,187708135
2012,tt1308729,Bullet to the Head,nowomen,FAIL,,,55805121
2012,tt1991245,Chernobyl Diaries,notalk,FAIL,,,1014639
2012,tt1706593,Chronicle,notalk,FAIL,,,12175663
2012,tt1371111,Cloud Atlas,ok,PASS,scifi,R,103493134
2012,tt1524137,Contraband,ok,PASS,action,R,25365964
2012,tt1853728,Django Unchained,notalk,FAIL,,,101463857
2012,tt1907668,Flight,dubious,FAIL,,,31453796
2012,tt1142977,Frankenweenie,nowomen,FAIL,,,39570904
2012,tt0837562,Hotel Transylvania,ok,PASS,kids,PG,86244278
2012,tt0790724,Jack Reacher,notalk,FAIL,,,60878314
2012,tt2106476,Jagten,men,FAIL,,,3500503
2012,tt0401729,John Carter,ok,PASS,action,PG13,279025606
2012,tt1764234,Killing Them Softly,nowomen,FAIL,,,15219578
2012,tt1707386,Les Miserables,ok,PASS,drama,PG13,65951507
2012,tt0454876,Life of Pi,notalk,FAIL,,,121756628
2012,tt0443272,Lincoln,ok,PASS,drama,PG13,65951507
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,,,147122592
2012,tt1409024,Men in Black III,notalk,FAIL,,,218147292
2012,tt1667353,Mirror Mirror,dubious,FAIL,,,86244278
2012,tt1748122,Moonrise Kingdom,ok,PASS,drama,PG13,16234217
2012,tt2094064,Much Ado About Nothing,dubious,FAIL,,,8117109
2012,tt1598828,One for the Money,ok,PASS,comedy,PG13,42614820
2012,tt2109184,Paranormal Activity 4,ok,PASS,horror,R,5073193
2012,tt1623288,ParaNorman,notalk,FAIL,,,60878314
2012,tt1047540,Parental Guidance,ok,PASS,kids,PG,25365964
2012,tt1716777,People Like Us,ok,PASS,drama,PG13,16234217
2012,tt1981677,Pitch Perfect,ok,PASS,comedy,PG13,17248856
2012,tt1547234,Premium Rush,ok,PASS,action,PG13,35512350
2012,tt1234719,Red Dawn,notalk,FAIL,,,65951507
2012,tt0485985,Red Tails,men,FAIL,,,58849037
2012,tt1446192,Rise of the Guardians,notalk,FAIL,,,147122592
2012,tt1336608,Rock of Ages,ok,PASS,comedy,PG13,71024700
2012,tt1656190,Safe,notalk,FAIL,,,33483073
2012,tt1862079,Safety Not Guaranteed,ok,PASS,drama,R,760979
2012,tt1931533,Seven Psychopaths,notalk,FAIL,,,13697621
2012,tt0938330,Silent Hill: Revelation 3D,ok,PASS,horror,R,20292771
2012,tt1045658,Silver Linings Playbook,ok,PASS,drama,R,21307410
2012,tt1922777,Sinister,men,FAIL,,,3043916
2012,tt1074638,Skyfall,dubious,FAIL,,,202927713
2012,tt1735898,Snow White and the Huntsman,ok,PASS,action,PG13,172488556
2012,tt1876451,Sparkle,ok,PASS,drama,PG13,10146386
2012,tt2101441,Spring Breakers,ok,PASS,drama,R,5073193
2012,tt1800741,Step Up Revolution,ok,PASS,drama,PG13,33483073
2012,tt1874789,Supporting Characters,men,FAIL,,,60878
2012,tt1637725,Ted,men,FAIL,,,50731928
2012,tt1232200,That&#39;s My Boy,notalk,FAIL,,,68488103
2012,tt0948470,The Amazing Spider-Man,men,FAIL,,,223220484
2012,tt0848228,The Avengers,notalk,FAIL,,,60878314
2012,tt1345836,The Dark Knight Rises,notalk,FAIL,,,279025606
2012,tt1560985,The Devil Inside,ok,PASS,horror,R,1014639
2012,tt1645170,The Dictator,notalk,FAIL,,,65951507
2012,tt1764651,The Expendables 2,ok,PASS,action,R,101463857
2012,tt1601913,The Grey,nowomen,FAIL,,,25365964
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen,FAIL,,,253659641
2012,tt1392170,The Hunger Games,ok,PASS,scifi,PG13,81171085
2012,tt1649419,The Impossible,men,FAIL,,,40585543
2012,tt1258972,The Man with the Iron Fists,notalk,FAIL,,,15219578
2012,tt1560747,The Master,notalk,FAIL,,,38048946
2012,tt1430626,The Pirates! Band of Misfits,notalk,FAIL,,,55805121
2012,tt1817273,The Place Beyond the Pines,notalk,FAIL,,,15219578
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,,,138193773
2012,tt1606389,The Vow,ok,PASS,romance,PG13,8866236
2012,tt1298649,The Watch,men,FAIL,,,55805121
2012,tt1596365,The Woman in Black,notalk,FAIL,,,15219578
2012,tt1840417,The Words,notalk,FAIL,,,6087831
2012,tt1621045,Think Like a Man,ok,PASS,romance,PG13,12175663
2012,tt1859650,To Rome With Love,men,FAIL,,,21814729
2012,tt1386703,Total Recall,notalk,FAIL,,,126829821
2012,tt1496025,Underworld: Awakening,ok,PASS,action,R,71024700
2012,tt1655460,Wanderlust,ok,PASS,comedy,R,32975753
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,PASS,comedy,PG13,38048946
2012,tt1870529,Won&#39;t Back Down,ok,PASS,drama,PG,19278133
2012,tt1646987,Wrath of the Titans,notalk,FAIL,,,152195785
2012,tt1772341,Wreck-It Ralph,ok,PASS,kids,PG,167415363
2012,tt1790885,Zero Dark Thirty,ok,PASS,drama,R,53268525
2011,tt1622547,30 Minutes or Less,notalk,FAIL,,,28999342
2011,tt1306980,50/50,men,FAIL,,,8285526
2011,tt1571222,A Dangerous Method,dubious,FAIL,,,20713816
2011,tt1422136,A Lonely Place to Die,ok,PASS,action,R,4142763
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,,,20713816
2011,tt1549572,Another Earth,ok,PASS,drama,PG13,181246
2011,tt1772240,Apollo 18,nowomen,FAIL,,,5178454
2011,tt1430607,Arthur Christmas,notalk,FAIL,,,88033717
2011,tt1478964,Attack the Block,ok,PASS,action,R,13463980
2011,tt1284575,Bad Teacher,ok,PASS,comedy,R,19678125
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,,,72498355
2011,tt1152398,Beastly,notalk,FAIL,,,17606743
2011,tt1629705,Blackthorn,notalk,FAIL,,,4660609
2011,tt1478338,Bridesmaids,ok,PASS,comedy,R,33659951
2011,tt0458339,Captain America: The First Avenger,notalk,FAIL,,,144996710
2011,tt1216475,Cars 2,men,FAIL,,,207138157
2011,tt1684628,Circumstance,ok,PASS,drama,R,932122
