year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
2013,tt1711425,21 &amp; Over,notalk,FAIL,Comedy,R,13000000,5.9,Jon Lucas,"['Miles Teller', 'Skylar Astin', 'Justin Chon', 'Sarah Wright', 'Jonathan Keltz']",
2012,tt1343727,Dredd 3D,ok,PASS,Action,R,45658735,7,Pete Travis,"['Karl Urban', 'Rachel Wood', 'Andile Mngadi', 'Porteus Xandau', 'Jason Cope']","['John Wagner', 'Carlos Ezquerra', 'Alex Garland']"
2013,tt2024544,12 Years a Slave,notalk,FAIL,Biography,R,20000000,8.1,Steve McQueen,"['Chiwetel Ejiofor', 'Dwight Henry', 'Dickie Gravois', 'Bryan Batt', 'Ashley Dyke']","['John Ridley', 'Solomon Northup']"
2013,tt1272878,2 Guns,notalk,FAIL,Action,R,61000000,6.8,Baltasar Kormákur,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Edward James Olmos', 'Bill Paxton']","['Blake Masters', 'Steven Grant']"
2013,tt0453562,42,men,FAIL,Biography,PG13,40000000,7.5,Brian Helgeland,"['Chadwick Boseman', 'Harrison Ford', 'Nicole Beharie', 'Christopher Meloni', 'Ryan Merriman']",['Brian Helgeland']
2013,tt1335975,47 Ronin,men,FAIL,Action,PG13,225000000,6.3,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki', 'Tadanobu Asano', 'Min Tanaka']","['Chris Morgan', 'Hossein Amini', 'Chris Morgan', 'Walter Hamada']"
2013,tt1606378,A Good Day to Die Hard,notalk,FAIL,Action,R,92000000,5.3,John Moore,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Yuliya Snigir']","['Skip Woods', 'Roderick Thorp']"
2013,tt2194499,About Time,ok,PASS,Drama,R,12000000,7.8,Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson', 'Lindsay Duncan']",['Richard Curtis']
2013,tt1814621,Admission,ok,PASS,Comedy,PG13,13000000,5.7,Paul Weitz,"['Tina Fey', 'Ann Harada', 'Ben Levin', 'Dan Levy', 'Maggie Keenan-Bolger']","['Karen Croner', 'Jean Hanff Korelitz']"
2013,tt1815862,After Earth,notalk,FAIL,Action,PG13,130000000,4.9,M. Night Shyamalan,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo', 'Zo\xc3\xab Kravitz', 'Glenn Morshower']",
2013,tt1800241,American Hustle,ok,PASS,Crime,R,40000000,7.3,David O. Russell,"['Christian Bale', 'Bradley Cooper', 'Amy Adams', 'Jeremy Renner', 'Jennifer Lawrence']","['Eric Warren Singer', 'David O. Russell']"
2013,tt1322269,August: Osage County,ok,PASS,Drama,R,25000000,7.3,John Wells,"['Meryl Streep', 'Julia Roberts', 'Chris Cooper', 'Ewan McGregor', 'Margo Martindale']","['Tracy Letts', 'Tracy Letts']"
2013,tt1559547,Beautiful Creatures,ok,PASS,Drama,PG13,50000000,6.2,Richard LaGravenese,"['Alden Ehrenreich', 'Alice Englert', 'Jeremy Irons', 'Viola Davis', 'Emmy Rossum']","['Richard LaGravenese', 'Kami Garcia', 'Margaret Stohl']"
2013,tt2334873,Blue Jasmine,ok,PASS,Drama,PG13,18000000,7.3,Woody Allen,"['Cate Blanchett', 'Joy Carlin', 'Richard Conti', 'Glen Caspillo', 'Alec Baldwin']",['Woody Allen']
2013,tt1535109,Captain Phillips,notalk,FAIL,Biography,PG13,55000000,7.9,Paul Greengrass,"['Tom Hanks', 'Catherine Keener', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Faysal Ahmed']","['Billy Ray', 'Richard Phillips', 'Stephan Talty']"
2013,tt1939659,Carrie,ok,PASS,Drama,R,30000000,6,Kimberly Peirce,"['Julianne Moore', 'Chlo\xc3\xab Grace Moretz', 'Gabriella Wilde', 'Portia Doubleday', 'Zo\xc3\xab Belkin']","['Lawrence D. Cohen', 'Roberto Aguirre-Sacasa', 'Stephen King']"
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,Animation,PG,78000000,6.5,Cody Cameron,"['Bill Hader', 'Anna Faris', 'James Caan', 'Will Forte', 'Andy Samberg']","['Erica Rivinoja', 'John Francis Daley', 'Jonathan M. Goldstein', 'Phil Lord', 'Christopher Miller', 'Erica Rivinoja', 'Judi Barrett', 'Ron Barrett']"
